,X,Y,d_X,d_Y,freq
0,106.8154969,47.91005082,106.9095753,47.91655036,187
1,106.8154969,47.91005082,107.0008482,47.91260622,12
2,106.7634086,47.86562238,106.9258977,47.91809592,18
3,106.7634086,47.86562238,106.7634086,47.86562238,77
4,106.7634086,47.86562238,106.9156346,47.91433538,2
5,106.7634086,47.86562238,106.898148,47.89886727,39
6,106.7634086,47.86562238,106.920326,47.922543,11
7,106.7634086,47.86562238,106.9090289,47.90003102,35
8,106.7634086,47.86562238,106.9177467,47.91665621,18
9,106.7634086,47.86562238,106.7641914,47.8691994,4
10,106.8406411,47.91162692,106.8863142,47.91493321,125
11,106.8406411,47.91162692,107.0708067,47.91567425,1
12,106.7634086,47.86562238,106.9109476,47.92294489,5
13,106.7634086,47.86562238,106.871305,47.89158555,9
14,106.762158,47.85693427,106.929709,47.90094726,2
15,106.762158,47.85693427,106.920326,47.922543,7
16,106.762158,47.85693427,106.8945739,47.91414048,6
17,106.7655304,47.8560047,106.919973,47.92912416,2
18,106.7655304,47.8560047,106.9265037,47.91796369,11
19,106.7655304,47.8560047,106.9116781,47.91757682,10
20,106.7655304,47.8560047,106.8994572,47.920269,15
21,106.7655304,47.8560047,106.9174923,47.92762656,13
22,106.8671097,47.91394348,106.8973542,47.91530454,256
23,106.8671097,47.91394348,106.9323373,47.91849125,64
24,106.7704593,47.85623028,106.9116781,47.91757682,3
25,106.7704593,47.85623028,106.7992407,47.86169778,12
26,106.7704593,47.85623028,106.9224328,47.91311169,1
27,106.7768131,47.85638216,106.9104184,47.90168814,5
28,106.7768131,47.85638216,106.920326,47.922543,5
29,106.7768131,47.85638216,106.898148,47.89886727,12
30,106.7655304,47.8560047,106.898148,47.89886727,85
31,106.7655304,47.8560047,106.9090289,47.90003102,30
32,106.7655304,47.8560047,106.9156346,47.91433538,6
33,106.7655304,47.8560047,106.9177467,47.91665621,34
34,106.7655304,47.8560047,106.985872,47.92197372,1
35,106.7634086,47.86562238,106.9150393,47.91338119,19
36,106.7634086,47.86562238,106.9265037,47.91796369,3
37,106.7918339,47.85946649,106.9177467,47.91665621,7
38,106.7918339,47.85946649,106.9109476,47.92294489,2
39,106.7918339,47.85946649,106.920326,47.922543,3
40,106.762158,47.85693427,106.9177467,47.91665621,18
41,106.762158,47.85693427,106.94342,47.91061447,3
42,106.762158,47.85693427,106.9258977,47.91809592,14
43,106.8103524,47.86507641,106.9258977,47.91809592,13
44,106.8103524,47.86507641,106.9177467,47.91665621,11
45,106.8177255,47.86728638,106.9150393,47.91338119,16
46,106.8177255,47.86728638,106.8103524,47.86507641,19
47,106.8177255,47.86728638,106.8571912,47.90160418,3
48,106.8177255,47.86728638,106.9267312,47.92267936,1
49,106.7655304,47.8560047,106.920326,47.922543,12
50,106.8249466,47.86947843,106.9177467,47.91665621,13
51,106.8249466,47.86947843,106.9258977,47.91809592,13
52,106.7704593,47.85623028,106.920326,47.922543,6
53,106.8323577,47.87166991,106.879676,47.894527,100
54,106.8323577,47.87166991,106.920326,47.922543,15
55,106.9707554,47.91573182,106.9156346,47.91433538,53
56,106.9707554,47.91573182,106.9707554,47.91573182,1355
57,106.9707554,47.91573182,106.9177467,47.91665621,437
58,106.7768131,47.85638216,106.9116781,47.91757682,4
59,106.7655304,47.8560047,106.9150393,47.91338119,27
60,106.7655304,47.8560047,106.8883362,47.89746634,132
61,106.8439545,47.87484965,106.9104184,47.90168814,6
62,106.8500677,47.87700034,106.879676,47.894527,142
63,106.8500677,47.87700034,106.9116781,47.91757682,25
64,106.7918339,47.85946649,106.9941393,47.90726059,1
65,106.917102,47.961628,106.9118796,47.91837806,3
66,106.857492,47.88088337,106.8945739,47.91414048,25
67,106.857492,47.88088337,106.9941393,47.90726059,1
68,106.857492,47.88088337,106.9150393,47.91338119,55
69,106.8783156,47.92256198,106.9707554,47.91573182,70
70,106.917102,47.961628,106.9116781,47.91757682,21
71,106.917102,47.961628,106.9177467,47.91665621,4
72,106.917102,47.961628,106.9149956,47.95446739,17
73,106.8177255,47.86728638,106.9156346,47.91433538,7
74,106.8866355,47.92282658,106.9707554,47.91573182,73
75,106.917102,47.961628,106.8472336,47.91211229,2
76,106.8323577,47.87166991,106.8973542,47.91530454,8
77,106.8323577,47.87166991,106.9150393,47.91338119,32
78,106.879676,47.894527,106.920326,47.922543,24
79,106.8905874,47.91892938,106.9707554,47.91573182,61
80,106.8905874,47.91892938,106.8905874,47.91892938,56
81,106.9144798,47.94322193,106.9109476,47.92294489,47
82,106.9144798,47.94322193,106.9116781,47.91757682,94
83,106.9751033,47.9143912,106.6826077,47.93629088,1
84,106.8500677,47.87700034,106.9258977,47.91809592,37
85,106.8500677,47.87700034,106.920326,47.922543,26
86,106.898148,47.89886727,106.898148,47.89886727,203
87,106.898148,47.89886727,106.920326,47.922543,100
88,106.898148,47.89886727,106.9150393,47.91338119,319
89,106.9159523,47.9360986,106.9109476,47.92294489,17
90,106.898148,47.89886727,106.9174923,47.92762656,13
91,106.857492,47.88088337,106.857492,47.88088337,48
92,106.9707554,47.91573182,106.8154969,47.91005082,260
93,106.9707554,47.91573182,106.9035252,47.91586183,244
94,106.857492,47.88088337,106.9177467,47.91665621,26
95,106.9707554,47.91573182,106.9323373,47.91849125,158
96,106.9707554,47.91573182,106.9488039,47.91804095,765
97,106.9256834,47.99329058,106.9109476,47.92294489,2
98,106.9256834,47.99329058,106.9095753,47.91655036,2
99,106.9256834,47.99329058,106.919973,47.92912416,1
100,106.9650848,47.91623447,106.9410161,47.9187627,231
101,106.9650848,47.91623447,106.9265037,47.91796369,201
102,106.9650848,47.91623447,106.8154969,47.91005082,72
103,106.8585471,47.91880669,106.9104184,47.90168814,13
104,106.8585471,47.91880669,106.9116781,47.91757682,10
105,106.9607572,47.91659351,106.8154969,47.91005082,47
106,106.9410161,47.9187627,106.9707554,47.91573182,566
107,106.9235869,47.98340662,106.919973,47.92912416,1
108,106.9235869,47.98340662,106.9159523,47.9360986,7
109,106.9235869,47.98340662,106.9109476,47.92294489,6
110,106.9488039,47.91804095,106.9264965,47.89200722,1
111,106.879676,47.894527,106.9177467,47.91665621,61
112,106.9488039,47.91804095,106.8264403,47.91048321,24
113,106.8439545,47.87484965,106.9150393,47.91338119,9
114,106.9707554,47.91573182,107.2489438,47.76768386,71
115,106.9177467,47.91665621,106.9707554,47.91573182,688
116,106.8500677,47.87700034,106.9150393,47.91338119,53
117,106.8500677,47.87700034,106.9070327,47.92187954,7
118,106.9177467,47.91665621,106.8548066,47.91988475,1
119,106.8500677,47.87700034,106.898148,47.89886727,81
120,106.9410161,47.9187627,106.8838793,47.9112215,24
121,106.9410161,47.9187627,106.9118796,47.91837806,14
122,106.9410161,47.9187627,106.7852092,47.8920732,1
123,106.9410161,47.9187627,106.8154969,47.91005082,141
124,107.0338898,47.91766359,106.9707554,47.91573182,282
125,106.9179594,47.97405506,106.9109476,47.92294489,6
126,107.0338898,47.91766359,106.8883362,47.89746634,1
127,107.0338898,47.91766359,107.0338898,47.91766359,38
128,107.0338898,47.91766359,107.0008482,47.91260622,45
129,107.0338898,47.91766359,106.9156346,47.91433538,2
130,107.0338898,47.91766359,106.929709,47.90094726,3
131,107.0338898,47.91766359,106.9265037,47.91796369,3
132,106.8154969,47.91005082,106.8154969,47.91005082,1177
133,106.8154969,47.91005082,106.8863142,47.91493321,226
134,106.8154969,47.91005082,106.8592562,47.91338175,381
135,106.857492,47.88088337,106.879676,47.894527,154
136,106.9707554,47.91573182,107.0008482,47.91260622,372
137,106.8154969,47.91005082,106.8941531,47.92495343,74
138,106.8154969,47.91005082,106.9707554,47.91573182,279
139,106.857492,47.88088337,106.874954,47.91438,11
140,106.8154969,47.91005082,106.8264403,47.91048321,272
141,106.8154969,47.91005082,106.9150393,47.91338119,69
142,106.8154969,47.91005082,106.9323373,47.91849125,80
143,106.8154969,47.91005082,106.9410161,47.9187627,179
144,106.857492,47.88088337,106.8531304,47.91252637,8
145,106.8154969,47.91005082,106.8531304,47.91252637,292
146,106.9707554,47.91573182,106.9336482,47.91838281,433
147,106.8154969,47.91005082,106.9258977,47.91809592,47
148,106.9707554,47.91573182,106.9410161,47.9187627,608
149,107.0338898,47.91766359,106.9336482,47.91838281,3
150,106.9258977,47.91809592,106.8883362,47.89746634,20
151,106.9171308,47.96842904,106.9116781,47.91757682,83
152,106.9171308,47.96842904,106.9177467,47.91665621,19
153,106.9171308,47.96842904,106.9109476,47.92294489,40
154,106.9258977,47.91809592,106.898148,47.89886727,63
155,106.9171308,47.96842904,106.9258977,47.91809592,58
156,106.9171308,47.96842904,106.8973542,47.91530454,18
157,106.9171308,47.96842904,106.920326,47.922543,14
158,106.9750869,47.91412679,107.2412102,47.77738176,2
159,106.898148,47.89886727,106.9177467,47.91665621,211
160,106.8017588,47.98767706,106.9287146,47.93000345,6
161,106.8017588,47.98767706,106.8941531,47.92495343,30
162,107.0338898,47.91766359,106.9419394,47.92334833,17
163,107.0338898,47.91766359,106.9376081,47.92844978,12
164,107.0338898,47.91766359,106.9488039,47.91804095,37
165,107.0338898,47.91766359,106.919973,47.92912416,12
166,106.7634086,47.86562238,106.8945739,47.91414048,13
167,107.0338898,47.91766359,106.943966,47.91346283,4
168,106.9607572,47.91659351,106.8264403,47.91048321,10
169,107.2459174,47.76712022,107.0238353,47.90392028,3
170,106.7634086,47.86562238,106.8323577,47.87166991,21
171,107.2459174,47.76712022,106.9707554,47.91573182,178
172,106.7634086,47.86562238,106.9174923,47.92762656,11
173,106.7634086,47.86562238,106.7704593,47.85623028,9
174,106.9707554,47.91573182,106.9109476,47.92294489,6
175,106.9707554,47.91573182,106.9258977,47.91809592,149
176,107.2459174,47.76712022,106.919973,47.92912416,2
177,107.0338898,47.91766359,106.9077654,47.92828037,17
178,107.3919458,47.78111872,106.9707554,47.91573182,4
179,107.3919458,47.78111872,107.2537762,47.77221344,16
180,106.9323373,47.91849125,106.8671097,47.91394348,94
181,107.3919458,47.78111872,107.2519635,47.77664942,20
182,106.8154969,47.91005082,106.8472336,47.91211229,315
183,107.3919458,47.78111872,107.2459174,47.76712022,3
184,106.917102,47.961628,106.917102,47.961628,16
185,107.2459174,47.76712022,106.9265037,47.91796369,1
186,107.0008482,47.91260622,106.9265037,47.91796369,31
187,106.920326,47.922543,106.867097,47.899766,5
188,107.0008482,47.91260622,106.9707554,47.91573182,503
189,107.0008482,47.91260622,106.919973,47.92912416,14
190,106.820438,47.934378,106.9150393,47.91338119,4
191,106.820438,47.934378,106.9095753,47.91655036,18
192,106.820438,47.934378,106.9100592,47.90809517,2
193,107.0371845,47.91291577,106.9707554,47.91573182,132
194,106.8031089,47.91515568,106.8154969,47.91005082,18
195,107.0008482,47.91260622,107.0008482,47.91260622,73
196,107.0008482,47.91260622,106.9376081,47.92844978,25
197,106.820438,47.934378,106.8973542,47.91530454,14
198,107.0008482,47.91260622,106.8863142,47.91493321,5
199,106.820438,47.934378,106.8863142,47.91493321,21
200,107.0008482,47.91260622,106.8394637,47.91193466,2
201,106.820438,47.934378,106.9707554,47.91573182,13
202,107.0338898,47.91766359,106.9436995,47.91458675,1
203,107.0371845,47.91291577,106.9488039,47.91804095,20
204,106.793477,47.92018008,106.8264403,47.91048321,26
205,106.793477,47.92018008,106.9527392,47.90776832,3
206,106.820438,47.934378,106.9177467,47.91665621,12
207,106.820438,47.934378,106.8853426,47.90900311,5
208,106.793477,47.92018008,106.8154969,47.91005082,24
209,106.7060646,47.9143109,106.8531304,47.91252637,6
210,106.7060646,47.9143109,106.8592562,47.91338175,16
211,107.0371845,47.91291577,106.8154969,47.91005082,3
212,106.820438,47.934378,106.8168466,47.9203698,172
213,106.793477,47.92018008,106.7946822,47.90818683,3
214,106.9488039,47.91804095,106.8973542,47.91530454,82
215,106.9488039,47.91804095,106.9177467,47.91665621,102
216,106.7657232,47.93452936,106.8592562,47.91338175,22
217,106.9488039,47.91804095,106.8066919,47.8729264,1
218,106.7657232,47.93452936,106.8264403,47.91048321,18
219,106.7657232,47.93452936,106.8335809,47.91104248,21
220,107.0371845,47.91291577,107.0008482,47.91260622,21
221,106.7657232,47.93452936,106.7657232,47.93452936,17
222,106.7657232,47.93452936,106.8671097,47.91394348,77
223,106.8154969,47.91005082,106.9177467,47.91665621,100
224,106.944161,47.953458,106.9432343,47.92659028,1
225,106.944161,47.953458,106.8958947,47.90187769,1
226,106.7657232,47.93452936,106.8472336,47.91211229,18
227,106.944161,47.953458,106.9376081,47.92844978,80
228,106.9104184,47.90168814,106.9104184,47.90168814,274
229,106.944161,47.953458,106.9314076,47.90449247,5
230,106.7657232,47.93452936,106.8154969,47.91005082,68
231,106.944161,47.953458,106.9090289,47.90003102,6
232,106.9104184,47.90168814,106.9177467,47.91665621,261
233,106.9484109,47.91263632,106.9265037,47.91796369,67
234,106.944161,47.953458,106.8883362,47.89746634,5
235,106.9484109,47.91263632,106.9436995,47.91458675,36
236,106.7657232,47.93452936,106.8239816,47.91076127,12
237,106.944161,47.953458,106.9393768,47.95021046,15
238,106.7060646,47.9143109,106.8264403,47.91048321,13
239,106.8278092,47.98403763,106.879676,47.894527,1
240,106.9484109,47.91263632,106.9116012,47.87704963,1
241,106.9607572,47.91659351,106.9177467,47.91665621,107
242,106.8229799,47.93911047,106.9086355,47.89555188,3
243,106.8278092,47.98403763,106.9095753,47.91655036,3
244,106.944161,47.953458,106.9488039,47.91804095,3
245,106.8278092,47.98403763,106.8863142,47.91493321,13
246,106.7060646,47.9143109,106.8154969,47.91005082,22
247,106.8229799,47.93911047,106.8335809,47.91104248,3
248,107.008702,47.932565,106.9815095,47.92360454,200
249,106.8278092,47.98403763,106.9077654,47.92828037,2
250,106.944161,47.953458,106.944161,47.953458,8
251,107.2459174,47.76712022,107.2521506,47.76987168,3
252,106.8229799,47.93911047,106.911037,47.886542,2
253,106.944161,47.953458,106.8973542,47.91530454,1
254,106.8229799,47.93911047,106.898148,47.89886727,10
255,106.8154969,47.91005082,106.8335809,47.91104248,431
256,106.8278092,47.98403763,106.8168466,47.9203698,108
257,106.8278092,47.98403763,106.9258977,47.91809592,10
258,106.8017588,47.98767706,106.8531304,47.91252637,3
259,106.944161,47.953458,106.898148,47.89886727,7
260,106.8278092,47.98403763,106.8883362,47.89746634,2
261,106.8278092,47.98403763,106.7989438,47.92050116,54
262,106.8017588,47.98767706,106.8264403,47.91048321,5
